fg_phenotype	name	category	category_index	fg_n_cases	fg_n_controls	ukbb_phenotype	ukbb_n_cases	ukbb_n_controls	ukbb_phecode_type	ukbb_phecode	ukbb_phecode_sex	mvp_phenotype	MVP_AFR_n_cases	MVP_EUR_n_cases	MVP_AMR_n_cases	MVP_AFR_n_controls	MVP_EUR_n_controls	MVP_AMR_n_controls	path_bucket	path_https
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	1	7671	444292	NA	NA	NA	NA	NA	NA	8.5	1274	5606	574	118853	447050	49872	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_BACT_INTEST_OTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_BACT_INTEST_OTH_meta_out.tsv.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	1	5341	488977	AB1_CANDIDIASIS	10619	380368	custom	NA	NA	112	3459	8526	877	112544	432280	48431	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_CANDIDIASIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_CANDIDIASIS_meta_out.tsv.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	1	56056	444292	NA	NA	NA	NA	NA	NA	8	2444	9346	1008	113672	432586	47866	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_INTESTINAL_INFECTIONS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_INTESTINAL_INFECTIONS_meta_out.tsv.gz
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	1	742	488977	NA	NA	NA	NA	NA	NA	110.2	2089	2644	544	116369	449372	49645	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_OTHER_SUPERF_MYCOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_OTHER_SUPERF_MYCOSIS_meta_out.tsv.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	1	2231	498117	NA	NA	NA	NA	NA	NA	132	NA	1793	NA	NA	451957	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_meta_out.tsv.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1	2776	497572	phecode-070-both_sexes	715	413496	phecode	070	both_sexes	70	14468	21558	3543	105244	431734	46810	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_HEPATITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_HEPATITIS_meta_out.tsv.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	1	11050	444292	icd10-A08-both_sexes	1107	419424	icd10	A08	both_sexes	8.6	NA	1349	NA	NA	449902	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_OTHER_INTEST_INFECTIONS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_OTHER_INTEST_INFECTIONS_meta_out.tsv.gz
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	1	7132	480316	AB1_ZOSTER	14173	384864	custom	NA	NA	53	2469	11696	1224	115794	428273	48184	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_ZOSTER_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_ZOSTER_meta_out.tsv.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	4852	378749	phecode-189.21-both_sexes	2590	415431	phecode	189.21	both_sexes	189.21	1053	10795	NA	120126	445108	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BLADDER_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BLADDER_EXALLC_meta_out.tsv.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	1894	378749	C3_BRAIN_EXALLC	851	323778	custom	NA	NA	191.11	NA	1216	NA	NA	456330	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRAIN_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRAIN_EXALLC_meta_out.tsv.gz
