code,title,chapter_range,chapter
A00,Cholera,A00-B99,Certain infectious and parasitic diseases
A01,Typhoid and paratyphoid fevers,A00-B99,Certain infectious and parasitic diseases
A02,Other salmonella infections,A00-B99,Certain infectious and parasitic diseases
A03,Shigellosis,A00-B99,Certain infectious and parasitic diseases
A04,Other bacterial intestinal infections,A00-B99,Certain infectious and parasitic diseases
A05,"Other bacterial foodborne intoxications, not elsewhere classified",A00-B99,Certain infectious and parasitic diseases
A06,Amebiasis,A00-B99,Certain infectious and parasitic diseases
A07,Other protozoal intestinal diseases,A00-B99,Certain infectious and parasitic diseases
A08,Viral and other specified intestinal infections,A00-B99,Certain infectious and parasitic diseases
A09,"Infectious gastroenteritis and colitis, unspecified",A00-B99,Certain infectious and parasitic diseases
A15,Respiratory tuberculosis,A00-B99,Certain infectious and parasitic diseases
A17,Tuberculosis of nervous system,A00-B99,Certain infectious and parasitic diseases
A18,Tuberculosis of other organs,A00-B99,Certain infectious and parasitic diseases
A19,Miliary tuberculosis,A00-B99,Certain infectious and parasitic diseases
A20,Plague,A00-B99,Certain infectious and parasitic diseases
A21,Tularemia,A00-B99,Certain infectious and parasitic diseases
A22,Anthrax,A00-B99,Certain infectious and parasitic diseases
A23,Brucellosis,A00-B99,Certain infectious and parasitic diseases
A24,Glanders and melioidosis,A00-B99,Certain infectious and parasitic diseases
A25,Rat-bite fevers,A00-B99,Certain infectious and parasitic diseases
A26,Erysipeloid,A00-B99,Certain infectious and parasitic diseases
A27,Leptospirosis,A00-B99,Certain infectious and parasitic diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",A00-B99,Certain infectious and parasitic diseases
A30,Leprosy [Hansen's disease],A00-B99,Certain infectious and parasitic diseases
A31,Infection due to other mycobacteria,A00-B99,Certain infectious and parasitic diseases
A32,Listeriosis,A00-B99,Certain infectious and parasitic diseases
A33,Tetanus neonatorum,A00-B99,Certain infectious and parasitic diseases
A34,Obstetrical tetanus,A00-B99,Certain infectious and parasitic diseases
A35,Other tetanus,A00-B99,Certain infectious and parasitic diseases
A36,Diphtheria,A00-B99,Certain infectious and parasitic diseases
A37,Whooping cough,A00-B99,Certain infectious and parasitic diseases
A38,Scarlet fever,A00-B99,Certain infectious and parasitic diseases
A39,Meningococcal infection,A00-B99,Certain infectious and parasitic diseases
A40,Streptococcal sepsis,A00-B99,Certain infectious and parasitic diseases
A41,Other sepsis,A00-B99,Certain infectious and parasitic diseases
A42,Actinomycosis,A00-B99,Certain infectious and parasitic diseases
A43,Nocardiosis,A00-B99,Certain infectious and parasitic diseases
A44,Bartonellosis,A00-B99,Certain infectious and parasitic diseases
A46,Erysipelas,A00-B99,Certain infectious and parasitic diseases
A48,"Other bacterial diseases, not elsewhere classified",A00-B99,Certain infectious and parasitic diseases
A49,Bacterial infection of unspecified site,A00-B99,Certain infectious and parasitic diseases
A50,Congenital syphilis,A00-B99,Certain infectious and parasitic diseases
A51,Early syphilis,A00-B99,Certain infectious and parasitic diseases
A52,Late syphilis,A00-B99,Certain infectious and parasitic diseases
A53,Other and unspecified syphilis,A00-B99,Certain infectious and parasitic diseases
A54,Gonococcal infection,A00-B99,Certain infectious and parasitic diseases
A55,Chlamydial lymphogranuloma (venereum),A00-B99,Certain infectious and parasitic diseases
A56,Other sexually transmitted chlamydial diseases,A00-B99,Certain infectious and parasitic diseases
A57,Chancroid,A00-B99,Certain infectious and parasitic diseases
A58,Granuloma inguinale,A00-B99,Certain infectious and parasitic diseases
A59,Trichomoniasis,A00-B99,Certain infectious and parasitic diseases
A60,Anogenital herpesviral [herpes simplex] infections,A00-B99,Certain infectious and parasitic diseases
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",A00-B99,Certain infectious and parasitic diseases
A64,Unspecified sexually transmitted disease,A00-B99,Certain infectious and parasitic diseases
A65,Nonvenereal syphilis,A00-B99,Certain infectious and parasitic diseases
A66,Yaws,A00-B99,Certain infectious and parasitic diseases
A67,Pinta [carate],A00-B99,Certain infectious and parasitic diseases
A68,Relapsing fevers,A00-B99,Certain infectious and parasitic diseases
A69,Other spirochetal infections,A00-B99,Certain infectious and parasitic diseases
A70,Chlamydia psittaci infections,A00-B99,Certain infectious and parasitic diseases
A71,Trachoma,A00-B99,Certain infectious and parasitic diseases
A74,Other diseases caused by chlamydiae,A00-B99,Certain infectious and parasitic diseases
A75,Typhus fever,A00-B99,Certain infectious and parasitic diseases
A77,Spotted fever [tick-borne rickettsioses],A00-B99,Certain infectious and parasitic diseases
A78,Q fever,A00-B99,Certain infectious and parasitic diseases
A79,Other rickettsioses,A00-B99,Certain infectious and parasitic diseases
A80,Acute poliomyelitis,A00-B99,Certain infectious and parasitic diseases
A81,Atypical virus infections of central nervous system,A00-B99,Certain infectious and parasitic diseases
A82,Rabies,A00-B99,Certain infectious and parasitic diseases
A83,Mosquito-borne viral encephalitis,A00-B99,Certain infectious and parasitic diseases
A84,Tick-borne viral encephalitis,A00-B99,Certain infectious and parasitic diseases
