trait_type,phenocode,pheno_sex,description,h2_liability_EUR,h2_z_EUR,filename,aws_link,wget,md5_hex,size_in_bytes
icd10,B02,both_sexes,B02 Zoster [herpes zoster],0.314,2.32,icd10-B02-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,3b6643673032308216872d6e26e74cd0,534856370
icd10,B17,both_sexes,B17 Other acute viral hepatitis,0.883,2.05,icd10-B17-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B17-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B17-both_sexes.tsv.bgz,1bec37c3d8c9cf0f2b35d00001117240,515982933
icd10,B35,both_sexes,B35 Dermatophytosis,0.00601,0.0239,icd10-B35-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B35-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B35-both_sexes.tsv.bgz,7556ad31ae4a5546c15d0279802d246d,526397436
icd10,B96,both_sexes,B96 Other bacterial agents as the cause of diseases classified to other chapters,0.0326,2.19,icd10-B96-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B96-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B96-both_sexes.tsv.bgz,f5260bdc700b5028c8ee88b0ce4d0aa2,2119638782
icd10,B97,both_sexes,B97 Viral agents as the cause of diseases classified to other chapters,0.0187,0.136,icd10-B97-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B97-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B97-both_sexes.tsv.bgz,9aee3d7b238fb3c324d9b1de68924881,534690769
icd10,C02,both_sexes,C02 Malignant neoplasm of other and unspecified parts of tongue,0.252,0.905,icd10-C02-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C02-both_sexes.tsv.bgz,75e2dc4839ff603d9df95d07b19801f1,523860822
icd10,C09,both_sexes,C09 Malignant neoplasm of tonsil,0.341,1.3,icd10-C09-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C09-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C09-both_sexes.tsv.bgz,12e50d84849ab9a1c7d4620340abfbae,524196715
icd10,C15,both_sexes,C15 Malignant neoplasm of oesophagus,0.101,1.05,icd10-C15-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C15-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C15-both_sexes.tsv.bgz,2e8838c1407b96880fd780fcf11ddc85,537893193
icd10,C18,both_sexes,C18 Malignant neoplasm of colon,0.0698,2,icd10-C18-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C18-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C18-both_sexes.tsv.bgz,ed74ebce6dd46956ee9f5b889ee6bd14,546602572
icd10,C21,both_sexes,C21 Malignant neoplasm of anus and anal canal,0.545,1.73,icd10-C21-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C21-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C21-both_sexes.tsv.bgz,c8611b3e2c061cbc536f148482db03dd,522313942
